Census Tract,"CalEnviroScreen
3.0 Score","CalEnviroScreen 3.0 
Percentile Range","Pollution Burden
Percentile","Population Characteristics
Percentile",Total Population,California County,Approximate Zip Code,"Nearby City 
(to help approximate location only)"
6037185310,50.22,85-90%,87.34,77.94,3061,Los Angeles,90065,Los Angeles
6065030501,50.18,85-90%,84.41,81.03,5095,Riverside ,92507,Riverside
6037218900,50.16,85-90%,71.71,91.89,5464,Los Angeles,90018,Los Angeles
6067004802,50.15,85-90%,62.13,96.83,4485,Sacramento ,95828,Sacramento
6037542800,50.13,85-90%,76.09,88.71,3123,Los Angeles,90220,Compton
6077001600,50.09,85-90%,64.22,95.80,2383,San Joaquin,95205,Stockton
6037207302,50.09,85-90%,98.67,58.85,3791,Los Angeles,90013,Los Angeles
6037237402,50.08,85-90%,69.76,92.74,3526,Los Angeles,90047,Los Angeles
6037501400,50.07,85-90%,80.51,84.97,3978,Los Angeles,90601,Whittier
6037502601,50.05,85-90%,91.62,73.05,7145,Los Angeles,90660,Pico Rivera
6085500100,50.03,85-90%,93.17,70.94,6339,Santa Clara,95112,San Jose
6071006204,50.03,85-90%,57.00,98.46,4495,San Bernardino,92404,San Bernardino
6037432500,50.03,85-90%,91.67,73.00,8210,Los Angeles,91732,El Monte
6065042511,50.03,85-90%,62.22,96.63,3308,Riverside ,92553,Moreno Valley
6037573100,49.99,85-90%,79.68,85.48,7165,Los Angeles,90806,Long Beach
6077005302,49.99,85-90%,88.10,76.79,6507,San Joaquin,95376,Tracy
6077003113,49.95,85-90%,76.25,88.23,6256,San Joaquin,95207,Stockton
6099001604,49.95,85-90%,48.85,99.97,3861,Stanislaus ,95351,Modesto
6037238320,49.94,85-90%,67.83,93.52,3787,Los Angeles,90044,Los Angeles
6071001305,49.94,85-90%,90.30,74.35,5348,San Bernardino,91764,Ontario
6019005408,49.92,85-90%,81.03,84.03,1276,Fresno ,93710,Fresno
6037576401,49.89,85-90%,61.10,96.91,4779,Los Angeles,90813,Long Beach
6037407801,49.89,85-90%,90.28,74.23,5074,Los Angeles,91744,La Puente
6037543905,49.87,85-90%,73.75,90.10,4510,Los Angeles,90745,Carson
6067004602,49.86,85-90%,68.39,93.16,5067,Sacramento ,95824,Sacramento
6013368002,49.85,85-90%,67.48,93.67,3404,Contra Costa,94806,San Pablo
6019003702,49.83,85-90%,60.11,97.14,4933,Fresno ,93705,Fresno
6099004000,49.82,85-90%,96.40,64.59,3822,Stanislaus ,95358,Modesto
6037543501,49.82,85-90%,93.52,69.88,6805,Los Angeles,90745,Carson
6065040203,49.75,85-90%,65.61,94.49,3626,Riverside ,92509,Riverside
6065042512,49.74,85-90%,69.77,92.27,3200,Riverside ,92553,Moreno Valley
6059086601,49.72,85-90%,85.84,78.46,9584,Orange ,92801,Anaheim
6019007003,49.72,85-90%,82.94,81.51,7750,Fresno ,93662,Selma
6037238310,49.71,85-90%,63.80,95.57,4821,Los Angeles,90044,Los Angeles
6071001002,49.69,85-90%,89.76,74.55,5530,San Bernardino,91762,Ontario
6073003502,49.67,85-90%,69.65,92.22,4946,San Diego,92113,San Diego
6037534804,49.67,85-90%,85.80,78.40,3878,Los Angeles,90255,Huntington Park
6037501803,49.67,85-90%,80.00,84.58,4705,Los Angeles,90602,Whittier
6065042506,49.65,85-90%,75.23,88.37,9483,Riverside ,92553,Moreno Valley
6029003112,49.64,85-90%,87.48,76.72,5116,Kern ,93313,Bakersfield
6071000207,49.63,85-90%,76.47,87.33,4635,San Bernardino,91763,Montclair
6037540800,49.61,85-90%,88.15,76.13,5042,Los Angeles,90059,Los Angeles
6037570100,49.59,85-90%,89.25,74.91,2837,Los Angeles,90805,Long Beach
6077002702,49.56,85-90%,79.02,85.17,4239,San Joaquin,95215,Stockton
6107000201,49.56,85-90%,81.21,82.91,9406,Tulare ,93647,Orosi
6047001003,49.56,85-90%,63.76,95.36,4061,Merced ,95348,Merced
6037208301,49.55,85-90%,92.03,71.65,2201,Los Angeles,90026,Los Angeles
6019004703,49.54,85-90%,71.46,90.76,4218,Fresno ,93705,Fresno
6037531604,49.53,85-90%,62.19,96.05,3580,Los Angeles,90022,Los Angeles
6037191710,49.51,85-90%,67.92,92.85,3231,Los Angeles,90038,Los Angeles
6099000909,49.51,85-90%,81.98,81.94,4402,Stanislaus ,95350,Modesto
6037533803,49.48,85-90%,83.16,80.87,6309,Los Angeles,90201,Bell
6037576402,49.47,85-90%,54.35,98.80,5181,Los Angeles,90813,Long Beach
6001402200,49.46,85-90%,82.22,81.74,2385,Alameda ,94607,Oakland
6073012502,49.43,85-90%,81.80,82.00,4466,San Diego,91910,Chula Vista
6037552602,49.42,85-90%,81.61,82.17,4191,Los Angeles,90650,Norwalk
6037213310,49.41,85-90%,75.53,87.73,3477,Los Angeles,90006,Los Angeles
6065041002,49.41,85-90%,85.39,78.42,3312,Riverside ,92503,Riverside
6037570304,49.41,85-90%,75.77,87.50,5171,Los Angeles,90805,Long Beach
6037551101,49.41,85-90%,91.39,71.98,3926,Los Angeles,90242,Downey
6037432202,49.40,85-90%,95.72,65.09,4252,Los Angeles,91770,Rosemead
6037236202,49.40,85-90%,65.90,93.88,6192,Los Angeles,90008,Los Angeles
6037404901,49.40,85-90%,91.70,71.71,5658,Los Angeles,91706,Baldwin Park
6037237500,49.38,85-90%,53.86,98.88,2675,Los Angeles,90044,Los Angeles
6065031401,49.38,85-90%,92.58,70.53,6702,Riverside ,92504,Riverside
6037232600,49.36,85-90%,77.24,86.13,6288,Los Angeles,90037,Los Angeles
6071001312,49.35,85-90%,95.51,65.46,4645,San Bernardino,91764,Ontario
6037573004,49.35,85-90%,63.86,94.85,5153,Los Angeles,90806,Long Beach
6037402600,49.32,85-90%,92.87,69.95,7453,Los Angeles,91767,Pomona
6037433307,49.31,85-90%,90.79,72.62,3421,Los Angeles,91732,El Monte
6099002602,49.29,85-90%,87.33,76.28,4561,Stanislaus ,95307,Ceres
6065042515,49.27,85-90%,58.78,97.17,3803,Riverside ,92553,Moreno Valley
6077001300,49.26,85-90%,83.87,79.93,4903,San Joaquin,95204,Stockton
6037104704,49.25,85-90%,82.83,80.80,4219,Los Angeles,91331,Pacoima
6019003900,49.25,85-90%,91.00,72.22,5804,Fresno ,93630,Kerman
6077004404,49.24,85-90%,75.41,87.48,3670,San Joaquin,95240,Lodi
6037224410,49.23,85-90%,81.10,82.22,3140,Los Angeles,90007,Los Angeles
6001409400,49.22,85-90%,56.96,97.83,4306,Alameda ,94603,Oakland
6037128210,49.18,85-90%,63.68,94.73,4822,Los Angeles,91401,Van Nuys
6037533203,49.17,85-90%,83.00,80.50,1827,Los Angeles,90255,Huntington Park
6037191610,49.13,85-90%,83.40,80.15,4502,Los Angeles,90029,Los Angeles
6099003603,49.13,85-90%,96.38,63.32,3952,Stanislaus ,95380,Turlock
6037405202,49.11,85-90%,83.32,80.17,5227,Los Angeles,91706,Baldwin Park
6075017902,49.09,85-90%,84.75,78.50,2880,San Francisco,94130,San Francisco
6047002202,49.08,85-90%,64.07,94.43,9923,Merced ,93635,Los Banos
6025011900,49.08,85-90%,85.31,77.80,10966,Imperial ,92231,Calexico
6037433402,49.07,85-90%,90.32,72.64,4776,Los Angeles,91733,South El Monte
6037234901,49.07,85-90%,56.34,97.94,2999,Los Angeles,90043,Los Angeles
6037533503,49.05,85-90%,72.05,89.90,1920,Los Angeles,90255,Huntington Park
6037554403,49.00,85-90%,68.97,91.44,5483,Los Angeles,90706,Bellflower
6037219700,48.99,85-90%,78.93,83.81,4306,Los Angeles,90016,Los Angeles
6037237710,48.98,85-90%,64.89,93.72,3887,Los Angeles,90044,Los Angeles
6037209300,48.97,85-90%,90.47,72.27,5021,Los Angeles,90017,Los Angeles
6071003609,48.94,85-90%,87.53,75.37,4871,San Bernardino,92316,Bloomington
6067004701,48.89,85-90%,59.85,96.44,3303,Sacramento ,95823,Sacramento
6065030101,48.89,85-90%,93.02,68.96,1226,Riverside ,92507,Riverside
6037572600,48.88,85-90%,92.13,70.19,5370,Los Angeles,90810,Long Beach
6037127803,48.88,85-90%,63.96,94.21,4037,Los Angeles,91405,Van Nuys
6037603702,48.86,85-90%,86.68,76.15,5087,Los Angeles,90506,Torrance
6013376000,48.86,85-90%,62.48,94.97,5962,Contra Costa,94801,Richmond
6037530301,48.85,85-90%,68.51,91.37,2168,Los Angeles,90022,Los Angeles
6037552301,48.84,85-90%,94.69,66.15,4900,Los Angeles,90650,Norwalk
6037109500,48.84,85-90%,92.22,70.01,4303,Los Angeles,91340,San Fernando
6037603200,48.83,85-90%,98.05,59.05,2777,Los Angeles,90248,Gardena
6037104701,48.83,85-90%,62.92,94.65,4208,Los Angeles,91331,Pacoima
6037232300,48.81,85-90%,64.04,94.02,3926,Los Angeles,90037,Los Angeles
6065042800,48.80,85-90%,73.78,88.01,9260,Riverside ,92570,Perris
6037500403,48.80,85-90%,93.83,67.47,4023,Los Angeles,90660,Pico Rivera
6071003505,48.78,85-90%,59.02,96.70,5969,San Bernardino,92376,Rialto
6059087803,48.78,85-90%,86.66,76.04,5658,Orange ,90680,Stanton
6065041703,48.73,85-90%,89.53,72.87,5695,Riverside ,92882,Corona
6031001300,48.73,85-90%,67.69,91.74,3761,Kings ,93212,Corcoran
6071009300,48.72,85-90%,61.53,95.41,1257,San Bernardino,92311,Barstow
6073016202,48.71,85-90%,87.03,75.38,3337,San Diego,92020,El Cajon
6037224700,48.70,85-90%,79.54,82.61,4856,Los Angeles,90007,Los Angeles
6073021900,48.70,85-90%,94.67,65.81,6816,San Diego,91950,National City
6037208801,48.69,85-90%,75.26,86.47,2995,Los Angeles,90057,Los Angeles
6037208502,48.68,85-90%,83.48,79.04,3571,Los Angeles,90057,Los Angeles
6037433802,48.67,85-90%,99.07,54.77,2780,Los Angeles,91733,South El Monte
6037433602,48.66,85-90%,91.57,70.29,2803,Los Angeles,91770,Rosemead
6037552100,48.66,85-90%,65.79,92.70,5891,Los Angeles,90650,Norwalk
6019002200,48.64,85-90%,75.46,86.34,3594,Fresno ,93728,Fresno
6067000500,48.64,85-90%,84.64,77.74,3159,Sacramento ,95814,Sacramento
6067009201,48.64,85-90%,95.07,64.70,2293,Sacramento ,95829,Sacramento
6037104821,48.63,85-90%,83.31,79.10,3514,Los Angeles,91331,Pacoima
6029004500,48.63,85-90%,95.33,64.40,3937,Kern ,93249,Lost Hills
6037405002,48.61,85-90%,89.31,72.81,3197,Los Angeles,91706,Baldwin Park
6029003202,48.59,85-90%,73.45,87.92,15579,Kern ,93307,Bakersfield
6037213202,48.58,85-90%,71.38,89.42,3873,Los Angeles,90006,Los Angeles
6037576200,48.56,85-90%,81.56,80.59,6158,Los Angeles,90802,Long Beach
6037221500,48.53,85-90%,67.29,91.61,3507,Los Angeles,90018,Los Angeles
6037402502,48.52,85-90%,69.06,90.52,7225,Los Angeles,91766,Pomona
6085504318,48.52,85-90%,94.51,65.72,5265,Santa Clara,95131,San Jose
6037534404,48.52,85-90%,83.51,78.77,3647,Los Angeles,90201,Bell
6013310000,48.52,85-90%,60.66,95.59,5641,Contra Costa,94565,Pittsburg
6037236203,48.48,85-90%,75.20,86.14,3417,Los Angeles,90016,Los Angeles
6067005502,48.48,85-90%,67.85,91.03,5477,Sacramento ,95815,Sacramento
6037191820,48.47,85-90%,94.85,64.98,2647,Los Angeles,90038,Los Angeles
6037408140,48.47,85-90%,87.27,74.60,3835,Los Angeles,91744,La Puente
6019004802,48.47,85-90%,56.14,97.44,4599,Fresno ,93705,Fresno
6037553901,48.47,85-90%,77.83,83.59,6896,Los Angeles,90723,Paramount
6067002100,48.47,85-90%,88.61,73.11,2377,Sacramento ,95818,Sacramento
6037552200,48.46,85-90%,74.04,87.06,6835,Los Angeles,90650,Norwalk
6025010400,48.43,85-90%,63.70,93.61,7162,Imperial ,92227,Brawley
6019003500,48.41,85-90%,77.29,83.92,5674,Fresno ,93704,Fresno
6037535501,48.41,85-90%,83.73,78.28,3866,Los Angeles,90280,South Gate
6037231220,48.41,85-90%,67.07,91.55,3824,Los Angeles,90037,Los Angeles
6037543802,48.39,85-90%,88.76,72.93,7126,Los Angeles,90745,Carson
6037237401,48.37,85-90%,59.78,95.85,3616,Los Angeles,90044,Los Angeles
6071001702,48.35,85-90%,82.81,79.08,4827,San Bernardino,91762,Ontario
6037572700,48.35,85-90%,84.77,77.02,5499,Los Angeles,90810,Long Beach
6037407302,48.34,85-90%,80.06,81.35,3501,Los Angeles,91744,La Puente
6037121221,48.34,85-90%,93.27,67.50,2365,Los Angeles,91352,Sun Valley
6107000502,48.32,85-90%,84.17,77.59,3405,Tulare ,93618,Dinuba
6071001706,48.32,85-90%,88.14,73.43,6231,San Bernardino,91762,Ontario
6107000401,48.30,85-90%,85.19,76.53,5193,Tulare ,93618,Dinuba
6065040503,48.29,85-90%,94.57,65.18,3876,Riverside ,91752,Mira Loma
6071003102,48.29,85-90%,72.27,88.08,5466,San Bernardino,92335,Fontana
6013311000,48.28,85-90%,58.52,96.32,5001,Contra Costa,94565,Pittsburg
6047001901,48.26,85-90%,63.06,93.76,5739,Merced ,95340,Merced
6047001700,48.25,85-90%,65.38,92.28,6335,Merced ,95341,Merced
6075023400,48.25,85-90%,58.69,96.25,3660,San Francisco,94124,San Francisco
6065041408,48.21,85-90%,92.36,68.61,4017,Riverside ,92505,Riverside
6059011602,48.19,85-90%,98.47,56.26,5237,Orange ,92831,Fullerton
6019008200,48.18,85-90%,79.34,81.62,6978,Fresno ,93608,Cantua Creek
6071004301,48.17,85-90%,53.32,98.17,4677,San Bernardino,92410,San Bernardino
6037221302,48.15,85-90%,65.09,92.32,4403,Los Angeles,90019,Los Angeles
6095250701,48.15,85-90%,60.51,95.02,2962,Solano ,94590,Vallejo
6037120400,48.14,85-90%,78.16,82.42,6272,Los Angeles,91402,Panorama City
6067002000,48.12,85-90%,79.79,81.16,2376,Sacramento ,95818,Sacramento
6029004301,48.12,85-90%,86.37,74.99,7416,Kern ,93280,Wasco
6081611900,48.11,85-90%,82.89,78.52,10325,San Mateo,94303,Palo Alto
6037302201,48.11,85-90%,84.46,76.96,3856,Los Angeles,91205,Glendale
6037408202,48.10,85-90%,99.68,50.57,2037,Los Angeles,91745,Hacienda Heights
6037234700,48.10,85-90%,72.12,87.80,3888,Los Angeles,90043,Los Angeles
6037533502,48.10,85-90%,82.38,78.94,2143,Los Angeles,90255,Huntington Park
6025011100,48.09,85-90%,75.79,84.76,3685,Imperial ,92243,El Centro
6037530302,48.05,85-90%,70.37,89.03,6556,Los Angeles,90022,Los Angeles
6037191410,48.04,85-90%,75.56,84.92,5092,Los Angeles,90029,Los Angeles
6037121600,48.03,85-90%,94.34,65.14,3005,Los Angeles,91605,North Hollywood
6071006302,48.01,85-90%,61.24,94.45,8815,San Bernardino,92404,San Bernardino
6073004700,47.99,85-90%,81.54,79.52,1858,San Diego,92102,San Diego
6037603400,47.98,85-90%,86.31,74.64,4367,Los Angeles,90249,Gardena
6001408900,47.97,85-90%,59.56,95.38,3414,Alameda ,94621,Oakland
6037504101,47.96,85-90%,86.40,74.50,5126,Los Angeles,90638,La Mirada
6025012100,47.95,85-90%,63.25,93.14,6937,Imperial ,92231,Calexico
6037551900,47.95,85-90%,84.84,76.24,5344,Los Angeles,90650,Norwalk
6059110606,47.90,85-90%,88.40,72.33,4590,Orange ,90621,Buena Park
6019007500,47.90,85-90%,65.16,91.85,5287,Fresno ,93609,Caruthers
6037213401,47.87,85-90%,72.64,86.98,4951,Los Angeles,90006,Los Angeles
6037603900,47.83,85-90%,83.96,76.88,7527,Los Angeles,90260,Lawndale
6037238000,47.82,85-90%,59.64,95.11,5864,Los Angeles,90047,Los Angeles
6037532200,47.82,85-90%,98.56,55.58,6836,Los Angeles,90640,Montebello
6115040400,47.81,85-90%,72.89,86.68,5538,Yuba ,95961,Olivehurst
6019006604,47.79,85-90%,73.76,85.99,7959,Fresno ,93654,Reedley
6037241110,47.77,85-90%,56.81,96.58,3074,Los Angeles,90061,Los Angeles
6037195804,47.77,85-90%,85.40,75.31,2643,Los Angeles,90026,Los Angeles
6077003313,47.76,85-90%,52.69,98.01,2926,San Joaquin,95207,Stockton
6029000101,47.74,85-90%,95.87,61.77,12240,Kern ,93308,Bakersfield
6059074300,47.71,85-90%,86.82,73.50,4392,Orange ,92707,Santa Ana
6037221304,47.69,85-90%,65.10,91.40,3319,Los Angeles,90019,Los Angeles
6037532101,47.66,85-90%,71.81,87.15,6663,Los Angeles,90640,Montebello
6037237600,47.66,85-90%,65.34,91.11,4259,Los Angeles,90044,Los Angeles
6039000800,47.65,85-90%,68.96,89.27,7027,Madera ,93637,Madera
6059089004,47.63,85-90%,75.57,83.87,7011,Orange ,92703,Santa Ana
6073011602,47.62,85-90%,63.85,92.23,3228,San Diego,91950,National City
6065042513,47.62,85-90%,73.85,85.58,3379,Riverside ,92553,Moreno Valley
6037601302,47.60,85-90%,86.11,73.93,6856,Los Angeles,90302,Inglewood
6071006700,47.60,85-90%,68.72,89.28,4486,San Bernardino,92324,Colton
6037294421,47.60,85-90%,90.78,69.24,2950,Los Angeles,90710,Harbor City
6077002504,47.59,85-90%,75.15,84.18,3982,San Joaquin,95206,Stockton
6037104610,47.59,85-90%,70.64,87.89,3672,Los Angeles,91331,Pacoima
6037481500,47.58,85-90%,94.47,64.13,4361,Los Angeles,91801,Alhambra
6037190401,47.57,85-90%,71.35,87.29,3135,Los Angeles,90027,Los Angeles
6037218702,47.57,85-90%,64.70,91.42,2176,Los Angeles,90018,Los Angeles
6037406702,47.56,85-90%,83.98,76.45,5823,Los Angeles,91790,West Covina
6019007300,47.54,85-90%,91.30,68.37,4869,Fresno ,93662,Selma
6001401800,47.54,85-90%,69.78,88.30,1703,Alameda ,94607,Oakland
6037208903,47.53,85-90%,77.93,81.32,4019,Los Angeles,90057,Los Angeles
6029003121,47.52,85-90%,58.95,95.04,8264,Kern ,93307,Bakersfield
6019007002,47.50,85-90%,86.50,73.48,4514,Fresno ,93662,Selma
6037294510,47.49,85-90%,72.67,86.25,4214,Los Angeles,90744,Wilmington
6037222600,47.48,85-90%,64.51,91.36,5631,Los Angeles,90007,Los Angeles
6037127804,47.48,85-90%,55.38,96.81,3933,Los Angeles,91405,Van Nuys
6037270300,47.47,85-90%,97.62,57.72,2364,Los Angeles,90034,Los Angeles
6031000800,47.47,85-90%,80.60,79.22,4858,Kings ,93230,Hanford
6037128601,47.46,85-90%,73.68,85.37,4288,Los Angeles,91401,Van Nuys
6073003602,47.45,85-90%,54.13,97.12,3079,San Diego,92113,San Diego
6065040402,47.45,85-90%,76.71,82.15,4224,Riverside ,92509,Riverside
6071003200,47.45,85-90%,73.91,85.13,8005,San Bernardino,92335,Fontana
6071002502,47.44,85-90%,64.33,91.54,8051,San Bernardino,92335,Fontana
6077003405,47.44,85-90%,46.40,99.55,4214,San Joaquin,95210,Stockton
6037500402,47.44,85-90%,73.04,85.86,4910,Los Angeles,90660,Pico Rivera
6029005003,47.43,85-90%,76.63,82.26,3543,Kern ,93215,Delano
6037542700,47.43,85-90%,58.84,94.94,5720,Los Angeles,90220,Compton
6037127910,47.43,85-90%,58.72,95.06,4769,Los Angeles,91405,Van Nuys
6077004502,47.42,85-90%,65.21,90.79,4450,San Joaquin,95240,Lodi
6037203720,47.40,85-90%,60.57,93.85,4001,Los Angeles,90033,Los Angeles
6107003300,47.40,85-90%,76.48,82.32,7837,Tulare ,93267,Strathmore
6031001003,47.40,85-90%,66.33,90.23,5699,Kings ,93230,Hanford
6037221601,47.38,85-90%,69.96,87.83,3403,Los Angeles,90007,Los Angeles
6085512603,47.37,85-90%,64.72,90.98,3954,Santa Clara,95020,Gilroy
6019002904,47.37,85-90%,71.01,87.07,2897,Fresno ,93727,Fresno
6037221820,47.37,85-90%,71.90,86.54,3095,Los Angeles,90007,Los Angeles
6037530400,47.36,85-90%,90.94,68.42,3683,Los Angeles,91754,Monterey Park
6037602403,47.36,85-90%,65.60,90.48,5230,Los Angeles,90250,Hawthorne
6099003300,47.34,85-90%,95.02,62.40,5077,Stanislaus ,95363,Patterson
6037119001,47.33,85-90%,90.59,68.81,4038,Los Angeles,91331,Pacoima
6037213320,47.33,85-90%,74.15,84.59,2481,Los Angeles,90006,Los Angeles
6071007109,47.32,85-90%,82.54,77.22,6064,San Bernardino,92313,Grand Terrace
6037297120,47.32,85-90%,76.10,82.44,3315,Los Angeles,90731,San Pedro
6107003100,47.32,85-90%,84.80,75.05,3591,Tulare ,93274,Tulare
6001406100,47.31,85-90%,85.94,73.55,4381,Alameda ,94601,Oakland
6037231300,47.29,85-90%,63.92,91.52,5348,Los Angeles,90062,Los Angeles
